90dC	#誤差率を求める時には最初の加速前の行を消す。			
0.0	200.64	207.545	194.165	211.515
25.17	68.02	60.42	75.02	70.42
522.98	75.02	90.42	98.02	90.42
498.90	125.02	155.42	148.02	140.42
